"year","qtr","date","response_id","identifier","interview_date","airport","country_of_residence","country_of_residence_group","au_state_of_origin","gender","first_nz_trip","purpose_of_visit_main","purpose_subtype","arrival_method","arrival_date","no_days_in_nz","no_days_in_nz_unknown","no_selection_itinerary","package_deal","pkg_included_airfare","country_package_started","trip_start_country","incl_stay_other_country","no_nights_other_country","single_or_others","no_people_over_15","no_people_under_15","currency","other_purchase","age_range","visited_ni","visited_si","travel_type","main_transport_type","sustainability_considered","treated_spend","population_weight","psu","vem_pop_weight"
2023,2,"2023-06-30","GEN24_1027333","Q2_2023_1_516","2023-05-10","Auckland","England","UK",NA,"Female","Yes","Holiday / vacation","For a working holiday","Auckland airport","2023-01-23",107,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"25 - 29","1","1","Tour Group","Tour bus","Most of the time",10530,232.57911769233831,"Auckland to USA",212.6765782044778
2023,2,"2023-06-30","GEN24_1027335","Q2_2023_1_517","2023-05-10","Auckland","England","UK",NA,"Female","Yes","Visiting friends / relatives","To visit family","Auckland airport","2023-02-17",82,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit cost for you and another person / people",2,0,"NZD - New Zealand dollar","No","60 - 64","1",NA,"Independent Traveller","Rental campervan / motor-home","Most of the time",14671.97967,88.4893941608981,"Auckland to Singapore, Doha, Dubai",96.0222482160247
2023,2,"2023-06-30","GEN24_1027336","Q2_2023_1_518","2023-05-10","Auckland","England","UK",NA,"Male","No","Visiting friends / relatives","To visit friends","Auckland airport","2023-02-02",97,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"75 or older",NA,NA,"Independent Traveller",NA,NA,9794.811253,229.86412028404283,"Auckland to Singapore, Doha, Dubai",NA
2023,2,"2023-06-30","GEN24_1027347","Q2_2023_1_519","2023-05-10","Auckland","China, People's Republic of","China",NA,"Male","Yes","Holiday / vacation","To go sightseeing","Queenstown airport","2023-04-27",13,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"25 - 29",NA,NA,"Independent Traveller",NA,NA,2839.9716,546.5000385906742,"Auckland to other China",NA
2023,2,"2023-06-30","GEN24_1027348","Q2_2023_1_520","2023-05-10","Auckland","China, People's Republic of","China",NA,"Rather not say","No","Education","Some other educational purpose","Auckland airport","2023-02-24",75,NA,NA,"Not sure",NA,NA,NA,NA,NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"20 - 24","1",NA,"Independent Traveller","Local bus service (within town/city & suburbs)","Not sure",2880,232.7547386957613,"Auckland to other China",458.6638069110427
2023,2,"2023-06-30","GEN24_1027352","Q2_2023_1_521","2023-05-10","Auckland","China, People's Republic of","China",NA,"Male","Yes","Holiday / vacation","For a working holiday","Christchurch airport","2023-04-29",11,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"30 - 34","1","1","Independent Traveller",NA,"Most of the time",2800,781.5970927180639,"Auckland to Shanghai, Hong Kong",458.6638069110427
2023,2,"2023-06-30","GEN24_1027357","Q2_2023_1_533","2023-05-11","Auckland","Germany","Germany",NA,"Female","Yes","Holiday / vacation","Just for the holiday","Queenstown airport","2023-03-31",41,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"Under 20",NA,"1","Independent Traveller","Bus service between towns / cities",NA,4707.230618,83.72643861815928,"Auckland to Shanghai, Hong Kong",83.4669219076793
2023,2,"2023-06-30","GEN24_1027359","Q2_2023_1_522","2023-05-11","Auckland","Australia","Australia","Victoria","Male","No","Visiting friends / relatives","To visit family","Auckland airport","2023-05-03",8,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit cost for you and another person / people",2,0,"NZD - New Zealand dollar",NA,"75 or older","1",NA,"Independent Traveller",NA,"Most of the time",3374.279807,486.0391119600103,"Auckland to Sydney, Melbourne",265.40384148968695
2023,2,"2023-06-30","GEN24_1027363","Q2_2023_1_523","2023-05-11","Auckland","Thailand","Rest of Asia",NA,"Female","Yes","Visiting friends / relatives","To visit friends","Auckland airport","2023-04-18",23,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"25 - 29","1","1","Independent Traveller","Car or van owned by you / family / friend(s) / company","Sometimes",3400,85.71652035116769,"Auckland to Sydney, Melbourne",194.57573596165332
2023,2,"2023-06-30","GEN24_1027393","Q2_2023_1_524","2023-05-11","Auckland","Australia","Australia","New South Wales","Female","No","Business",NA,"Auckland airport","2023-05-08",3,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"45 - 49","1",NA,"Independent Traveller",NA,NA,3665.351867,323.2487017446487,"Auckland to Sydney, Melbourne",270.8716945522001
2023,2,"2023-06-30","GEN24_1027396","Q2_2023_1_525","2023-05-11","Auckland","Australia","Australia",NA,"Female","No","Other","To take part (participate) in a sporting event","Christchurch airport",NA,14,NA,NA,"Yes","Not sure","Australia","Australia","No",NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"65 - 69",NA,NA,"Package",NA,NA,4302.433742,578.4243442026138,"Auckland to Sydney, Melbourne",NA
2023,2,"2023-06-30","GEN24_1027404","Q2_2023_1_526","2023-05-11","Auckland","Philippines","Rest of Asia",NA,"Female","Yes","Visiting friends / relatives","To visit family","Auckland airport","2023-04-29",12,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"40 - 44","1","1","Independent Traveller","Car or van owned by you / family / friend(s) / company","Sometimes",2500,121.06492492094615,"Auckland to Singapore, Doha, Dubai",257.0126451666817
2023,2,"2023-06-30","GEN24_1027405","Q2_2023_1_527","2023-05-11","Auckland","Netherlands","Rest of Europe",NA,"Female","Yes","Holiday / vacation","To go sightseeing","Auckland airport","2023-03-28",44,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit cost for you and another person / people",2,0,"NZD - New Zealand dollar",NA,"25 - 29",NA,NA,"Independent Traveller",NA,NA,6476.627675,79.91093085441106,"Auckland to Singapore, Doha, Dubai",NA
2023,2,"2023-06-30","GEN24_1027406","Q2_2023_1_528","2023-05-11","Auckland","Australia","Australia",NA,"Female","No","Business",NA,"Auckland airport","2023-05-07",4,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"35 - 39",NA,NA,"Independent Traveller",NA,NA,1901.670792,581.7747806631795,"Auckland to Sydney, Melbourne",NA
2023,2,"2023-06-30","GEN24_1027407","Q2_2023_1_529","2023-05-11","Auckland","Australia","Australia","Queensland","Female","No","Visiting friends / relatives","To visit family","Auckland airport","2023-05-05",6,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"65 - 69","1",NA,"Independent Traveller",NA,"Sometimes",539.0223333,411.7128998238401,"Auckland to other Australia",225.0248786884257
